,index,JV_default_PCE
1039,2471,4.13
1040,2472,3.91
1041,2473,3.5
1042,2474,19.1
1043,2475,21.1
1044,2478,17.24
1045,2482,17.24
1046,2486,17.24
1047,2498,15.2
1048,2499,17.6
1049,2500,18.69
1050,2501,16.24
1051,2502,11.07
1052,2503,14.9
1053,2504,5.16
1054,2505,8.27
1055,2506,9.4
1056,2507,12.2
1057,2508,15.2
1058,2509,17.3
1059,2510,17.7
1060,2514,15.15
1061,2516,18.07
1062,2518,14.1
1063,2519,16.9
1064,2520,15.5
1065,2521,18.8
1066,2522,14.9
1067,2523,16.0
1068,2529,2.5
1069,2530,21.1
1070,2531,2.5
1071,2532,21.1
1072,2533,10.06
1073,2534,17.09
1074,2535,15.0
1075,2536,19.0
1076,2537,18.6
1077,2538,18.4
1078,2539,17.8
1079,2540,17.7
1080,2546,13.36
1081,2547,16.02
1082,2548,18.81
1083,2549,17.0
1084,2550,19.0
1085,2551,15.0
1086,2555,12.74
1087,2556,18.03
1088,2557,13.71
1089,2558,14.37
1090,2559,16.8
1091,2560,16.2
1092,2564,12.7
1093,2565,17.87
1094,2566,9.81
1095,2567,12.78
1096,2575,19.14
1097,2576,17.92
1098,2588,17.3
1099,2593,15.12
1100,2594,8.14
1101,2602,
1102,2603,
1103,2604,
1104,2605,
1105,2611,14.28
1106,2612,17.08
1107,2613,20.34
1108,2618,16.34
1109,2619,18.51
1110,2622,12.2
1111,2623,16.7
1112,2630,18.12
1113,2631,20.55
1114,2632,12.7
1115,2633,11.88
1116,2634,15.0
1117,2635,10.3
1118,2659,16.06
1119,2660,16.08
1120,2664,10.67
1121,2665,13.8
1122,2675,
1123,2676,
1124,2677,
1125,2678,
1126,2679,
1127,2680,
1128,2681,10.42
1129,2682,13.81
1130,2684,6.88
1131,2687,
1132,2691,15.35
1133,2692,17.13
1134,2694,17.01
1135,2695,15.43
1136,2696,16.48
1137,2697,17.46
1138,2702,
1139,2703,
1140,2704,15.41
1141,2705,16.89
1142,2707,
1143,2710,
1144,2711,
1145,2712,
1146,2713,
1147,2714,
1148,2715,
1149,2717,12.82
1150,2718,16.12
1151,2719,
1152,2721,
1153,2722,
1154,2723,10.2
1155,2724,
1156,2725,
1157,2726,
1158,2727,
1159,2728,
1160,2729,
1161,2731,7.5
1162,2733,12.5
1163,2734,12.8
1164,2736,13.0
1165,2737,18.1
1166,2738,16.6
1167,2739,12.75
1168,2740,17.42
1169,2741,18.24
1170,2744,16.0
1171,2746,18.0
1172,2747,16.0
1173,2749,18.0
1174,2754,
1175,2755,
1176,2756,
1177,2757,
1178,2758,14.5
1179,2759,12.3
1180,2761,12.17
1181,2762,10.23
1182,2763,20.0
1183,2764,15.0
1184,2767,
1185,2768,
1186,2779,
1187,2780,
1188,2781,
1189,2782,
1190,2783,
1191,2784,
1192,2785,
1193,2786,
1194,2787,
1195,2788,
1196,2789,
1197,2790,
1198,2791,
1199,2792,
1200,2794,
1201,2795,
1202,2797,
1203,2799,13.2
1204,2806,
1205,2807,
1206,2817,18.5
1207,2818,13.0
1208,2819,18.4
1209,2831,16.18
1210,2832,18.08
1211,2833,17.35
1212,2834,18.06
1213,2835,17.46
1214,2839,17.22
1215,2840,14.19
1216,2842,9.5
1217,2849,11.07
1218,2850,12.14
1219,2852,9.4
1220,2865,15.08
1221,2883,11.62
1222,2884,11.9
1223,2886,17.5
1224,2887,17.8
1225,2888,19.01
1226,2889,17.77
1227,2890,13.7
1228,2891,15.9
1229,2899,17.46
1230,2900,18.52
1231,2901,20.12
1232,2902,15.05
1233,2903,15.46
1234,2904,14.91
1235,2905,12.7
1236,2906,15.98
1237,2908,13.16
1238,2910,11.5
1239,2912,4.3
1240,2913,8.13
1241,2914,12.21
1242,2916,13.85
1243,2917,5.3
1244,2918,7.31
1245,2919,11.49
1246,2920,14.36
1247,2921,2.46
1248,2922,7.02
1249,2923,16.21
1250,2924,11.76
1251,2925,10.39
1252,2926,10.46
1253,2927,15.82
1254,2928,13.47
1255,2932,12.2
1256,2933,12.13
1257,2934,16.06
1258,2937,16.6
1259,2938,13.1
1260,2939,17.5
1261,2944,15.34
1262,2945,14.11
1263,2946,16.3
1264,2947,18.19
1265,2948,15.34
1266,2949,14.11
1267,2950,16.3
1268,2951,18.19
1269,2952,15.34
1270,2953,14.11
1271,2954,16.3
1272,2955,18.19
1273,2956,17.43
1274,2957,12.72
1275,2958,16.87
1276,2959,13.2
1277,2960,16.24
1278,2965,18.83
1279,2966,17.61
1280,2967,17.61
1281,2968,16.62
1282,2969,16.62
1283,2970,13.5
1284,2971,15.0
1285,2972,15.5
1286,2973,17.38
1287,2974,19.94
1288,2975,12.32
1289,2976,12.34
1290,2978,15.5
1291,2979,7.03
1292,2980,15.5
1293,2981,14.58
1294,2988,11.0
1295,2989,11.2
1296,2990,9.5
1297,2991,14.1
1298,3002,14.18
1299,3003,14.65
1300,3004,14.18
1301,3005,14.65
1302,3006,14.18
1303,3007,14.65
1304,3008,15.77
1305,3009,17.07
1306,3010,18.83
1307,3011,17.66
1308,3012,14.4
1309,3013,12.76
1310,3016,14.49
1311,3021,9.2
1312,3022,12.98
1313,3023,10.4
1314,3036,10.72
1315,3037,14.4
1316,3044,8.7
1317,3045,11.6
1318,3053,12.77
1319,3054,17.8
1320,3055,18.61
1321,3056,12.77
1322,3057,17.8
1323,3058,18.61
1324,3073,16.44
1325,3085,7.95
1326,3086,10.3
1327,3087,9.15
1328,3093,18.13
1329,3094,20.18
1330,3095,18.13
1331,3096,20.18
1332,3097,16.63
1333,3098,17.34
1334,3099,17.1
1335,3100,17.3
1336,3101,17.4
1337,3102,17.5
1338,3103,17.4
1339,3104,17.7
1340,3105,16.9
1341,3106,9.1
1342,3107,10.2
1343,3108,9.7
1344,3109,8.2
1345,3110,6.5
1346,3113,11.3
1347,3130,11.19
1348,3131,12.1
1349,3137,10.27
1350,3153,19.8
1351,3160,14.0
1352,3161,17.3
1353,3162,18.0
1354,3171,14.66
1355,3172,13.46
1356,3173,13.46
1357,3175,17.41
1358,3176,16.7
1359,3177,19.57
1360,3178,11.58
1361,3179,11.58
1362,3180,13.58
1363,3181,13.28
1364,3186,16.4
1365,3187,12.5
1366,3188,13.7
1367,3189,17.2
1368,3190,22.2
1369,3191,15.58
1370,3193,20.9
1371,3194,20.9
1372,3195,13.53
1373,3196,10.69
1374,3208,16.3
1375,3209,15.1
1376,3210,13.4
1377,3212,11.4
1378,3213,11.42
1379,3219,7.53
1380,3220,13.7
1381,3222,7.0
1382,3223,12.5
1383,3224,18.12
1384,3226,7.3
1385,3227,18.3
1386,3228,17.06
1387,3229,14.3
1388,3230,17.1
1389,3231,16.47
1390,3232,18.9
1391,3238,19.19
1392,3239,19.19
1393,3240,17.02
1394,3241,17.02
1395,3243,5.41
1396,3244,10.41
1397,3245,13.42
1398,3246,15.7
1399,3247,11.67
1400,3248,9.87
1401,3249,9.83
1402,3250,11.15
1403,3252,14.3
1404,3253,12.9
1405,3255,13.8
1406,3256,11.6
1407,3257,14.39
1408,3261,15.12
1409,3262,16.6
1410,3263,15.5
1411,3264,15.2
1412,3265,18.2
1413,3269,9.2
1414,3270,10.8
1415,3271,10.8
1416,3272,12.95
1417,3275,16.46
1418,3276,13.87
1419,3277,19.31
1420,3278,18.11
1421,3280,15.64
1422,3281,18.25
1423,3284,10.8
1424,3285,10.8
1425,3286,14.9
1426,3287,14.9
1427,3288,15.15
1428,3291,11.9
1429,3292,12.2
1430,3293,15.6
1431,3294,17.4
1432,3295,15.58
1433,3296,15.6
1434,3297,10.3
1435,3300,16.3
1436,3301,18.0
1437,3303,11.0
1438,3304,12.8
1439,3305,17.2
1440,3306,20.1
1441,3310,12.34
1442,3311,12.32
1443,3315,17.0
1444,3316,16.5
1445,3325,17.36
1446,3326,14.9
1447,3328,11.39
1448,3329,11.1
1449,3330,10.1
1450,3331,9.46
1451,3332,9.02
1452,3335,13.9
1453,3336,11.8
1454,3337,12.3
1455,3338,12.1
1456,3343,14.8
1457,3344,16.83
1458,3345,12.2
1459,3346,16.07
1460,3347,6.3
1461,3348,6.3
1462,3349,17.3
1463,3350,17.3
1464,3373,17.2
1465,3375,17.3
1466,3376,14.0
1467,3377,11.64
1468,3378,17.82
1469,3383,11.9
1470,3384,11.9
1471,3385,15.5
1472,3386,15.5
1473,3387,15.0
1474,3388,15.0
1475,3389,7.2
1476,3390,13.0
1477,3391,8.8
1478,3394,17.2
1479,3395,13.5
1480,3405,17.2
1481,3406,16.7
1482,3409,12.9
1483,3410,14.77
1484,3414,15.6
1485,3417,13.63
1486,3418,12.31
1487,3419,14.68
1488,3420,15.8
1489,3421,15.7
1490,3422,10.95
1491,3423,14.62
1492,3424,12.25
1493,3425,15.06
1494,3426,15.04
1495,3427,13.0
1496,3432,15.94
1497,3433,17.05
1498,3442,17.43
1499,3443,12.32
1500,3444,15.24
1501,3445,17.45
1502,3446,16.0
1503,3447,20.02
1504,3450,5.27
1505,3451,13.73
1506,3458,15.0
1507,3459,10.8
1508,3460,14.8
1509,3461,18.5
1510,3468,3.91
1511,3469,14.5
1512,3471,14.5
1513,3473,18.08
1514,3474,20.41
1515,3475,17.32
1516,3476,19.6
1517,3477,13.8
1518,3478,17.9
1519,3479,16.1
1520,3480,18.98
1521,3481,15.56
1522,3482,12.13
1523,3483,12.6
1524,3486,6.06
1525,3487,3.51
1526,3491,9.48
1527,3492,8.12
1528,3493,7.21
1529,3496,13.01
1530,3497,13.85
1531,3498,17.68
1532,3501,14.36
1533,3502,16.5
1534,3504,17.56
1535,3515,17.94
1536,3517,17.11
1537,3518,17.11
1538,3523,17.26
1539,3524,16.86
1540,3527,15.43
1541,3528,17.35
1542,3529,14.45
1543,3530,16.46
1544,3531,16.46
1545,3534,15.29
1546,3537,17.2
1547,3538,18.57
1548,3539,17.97
1549,3542,17.5
1550,3543,17.5
1551,3548,11.8
1552,3552,13.29
1553,3553,14.36
1554,3554,17.03
1555,3555,0.34
1556,3565,17.6
1557,3569,15.0
1558,3585,18.22
1559,3589,16.47
1560,3590,19.33
1561,3591,16.3
1562,3592,6.2
1563,3593,7.0
1564,3594,7.0
1565,3595,12.5
1566,3596,17.12
1567,3599,7.6
1568,3600,6.3
1569,3601,9.2
1570,3604,11.01
1571,3605,13.77
1572,3606,18.83
1573,3607,18.8
1574,3608,15.7
1575,3614,14.82
1576,3616,10.54
